DATE,OUTBREAKS,FACILITIES_AFFECTED,RESIDENT_CASES,RESIDENT_DEATHS,STAFF_CASES,WEEKLY_OUTBREAKS,WEEKLY_FACILITIES_AFFECTED,WEEKLY_RESIDENT_CASES,WEEKLY_RESIDENT_DEATHS,WEEKLY_STAFF_CASES,ACT_OUTBREAKS_FACILITIES,ACT_ACTIVE_CASES_RESIDENTS,ACT_ACTIVE_CASES_STAFF,ACT_OUTBREAKS_OPENED_7DAYS,ACT_OUTBREAKS_CLOSED_7DAYS,NSW_OUTBREAKS_FACILITIES,NSW_ACTIVE_CASES_RESIDENTS,NSW_ACTIVE_CASES_STAFF,NSW_OUTBREAKS_OPENED_7DAYS,NSW_OUTBREAKS_CLOSED_7DAYS,NT_OUTBREAKS_FACILITIES,NT_ACTIVE_CASES_RESIDENTS,NT_ACTIVE_CASES_STAFF,NT_OUTBREAKS_OPENED_7DAYS,NT_OUTBREAKS_CLOSED_7DAYS,QLD_OUTBREAKS_FACILITIES,QLD_ACTIVE_CASES_RESIDENTS,QLD_ACTIVE_CASES_STAFF,QLD_OUTBREAKS_OPENED_7DAYS,QLD_OUTBREAKS_CLOSED_7DAYS,SA_OUTBREAKS_FACILITIES,SA_ACTIVE_CASES_RESIDENTS,SA_ACTIVE_CASES_STAFF,SA_OUTBREAKS_OPENED_7DAYS,SA_OUTBREAKS_CLOSED_7DAYS,TAS_OUTBREAKS_FACILITIES,TAS_ACTIVE_CASES_RESIDENTS,TAS_ACTIVE_CASES_STAFF,TAS_OUTBREAKS_OPENED_7DAYS,TAS_OUTBREAKS_CLOSED_7DAYS,VIC_OUTBREAKS_FACILITIES,VIC_ACTIVE_CASES_RESIDENTS,VIC_ACTIVE_CASES_STAFF,VIC_OUTBREAKS_OPENED_7DAYS,VIC_OUTBREAKS_CLOSED_7DAYS,WA_OUTBREAKS_FACILITIES,WA_ACTIVE_CASES_RESIDENTS,WA_ACTIVE_CASES_STAFF,WA_OUTBREAKS_OPENED_7DAYS,WA_OUTBREAKS_CLOSED_7DAYS,TOTAL_OUTBREAKS_FACILITIES,TOTAL_ACTIVE_CASES_RESIDENTS,TOTAL_ACTIVE_CASES_STAFF,TOTAL_OUTBREAKS_OPENED_7DAYS,TOTAL_OUTBREAKS_CLOSED_7DAYS
11/09/2020,213,,1967,580,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/09/2020,217,,2018,616,2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2020,220,,2027,645,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2020,222,217,2027,662,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2020,221,216,2028,669,2217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2020,221,216,2028,675,2219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2020,221,216,2027,676,2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2020,222,216,2027,678,2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2020,222,216,2027,678,2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2020,222,216,2027,678,2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2020,223,217,2027,678,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2020,223,217,2027,678,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2020,223,217,2027,678,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2020,223,217,2027,678,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/12/2020,223,217,2027,678,2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2020,224,218,2027,678,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/01/2021,224,218,2027,678,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2021,224,218,2027,678,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2021,221,215,2029,678,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2021,221,215,2029,678,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
